	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
196	437.978	240.0	113.0	4.2105263157894735	 	 	 		 
197	444.3	140.0	172.0	2.456140350877193	 	 	 		 
198	449.69699999999995	200.0	135.0	3.508771929824561	 	 	 		 
199	511.227	50.0	198.0	0.8771929824561403	 	 	 		 
200	519.16	100.0	189.0	1.7543859649122806	 	 	 		 
201	535.009	30.0	201.0	0.5263157894736842	 	 	 		 
202	535.035	30.0	202.0	0.5263157894736842	 	 	 		 
203	667.801	11.0	205.0	0.19298245614035087	 	 	 		 
204	678.715	15.0	204.0	0.2631578947368421	 	 	 		 
205					 	 	 		 
206					 	 	 		 
